XIY,SHA
XMN,SHA
HGH,SHE
NKG,SHE
PVG,SHE
SZX,SHE
XIY,SHE
PVG,SIN
HGH,SYX
PVG,SYX
SHA,SYX
HGH,SZX
SHA,SZX
SHE,SZX
SHA,TAO
PVG,TPE
SHA,URC
XIY,URC
SHA,XIY
SHE,XIY
URC,XIY
PVG,XMN
SHA,XMN
MSP,ATL
MSY,DTW
MSY,JFK
MSY,LGA
ATL,MSP
MSY,MSP
DTW,MSY
JFK,MSY
LGA,MSY
MSP,MSY
BOM,AUH
DEL,AUH
KWI,AUH
MAA,AUH
BOM,BKK
DEL,BKK
AUH,BOM
BKK,BOM
BRU,BOM
CMB,BOM
DEL,BOM
DOH,BOM
DXB,BOM
HKG,BOM
JED,BOM
JNB,BOM
KUL,BOM
KWI,BOM
LHR,BOM
MAA,BOM
MCT,BOM
NBO,BOM
NRT,BOM
RUH,BOM
SIN,BOM
BOM,BRU
DEL,BRU
EWR,BRU
YYZ,BRU
BOM,CMB
AUH,DEL
BKK,DEL
BOM,DEL
BRU,DEL
DOH,DEL
DXB,DEL
HKG,DEL
KUL,DEL
LHR,DEL
MAA,DEL
SIN,DEL
BOM,DOH
DEL,DOH
BOM,DXB
DEL,DXB
BRU,EWR
BOM,HKG
DEL,HKG
BOM,JED
BOM,JNB
BOM,KUL
DEL,KUL
MAA,KUL
AUH,KWI
BOM,KWI
BOM,LHR
DEL,LHR
AUH,MAA
BOM,MAA
DEL,MAA
KUL,MAA
SIN,MAA
BOM,MCT
BOM,NBO
BOM,NRT
BOM,RUH
BOM,SIN
DEL,SIN
MAA,SIN
BRU,YYZ
AUH,ATH
BCN,ATH
BRU,ATH
CAI,ATH
CDG,ATH
DME,ATH
DUS,ATH
FCO,ATH
FRA,ATH
GVA,ATH
HER,ATH
IST,ATH
LED,ATH
LHR,ATH
LYS,ATH
MAD,ATH
MAN,ATH
MRS,ATH
MUC,ATH
MXP,ATH
OSL,ATH
OTP,ATH
PHL,ATH
PRG,ATH
TLV,ATH
TXL,ATH
VIE,ATH
WAW,ATH
ATH,AUH
ATH,BCN
ATH,BRU
HER,BRU
ATH,CAI
ATH,CDG
HER,CDG
ATH,DME
HER,DME
ATH,DUS
HER,DUS
ATH,FCO
ATH,FRA
HER,FRA
ATH,GVA
ATH,HER
BRU,HER
CDG,HER
DME,HER
DUS,HER
