NAME,YEAR,STNELEV,LATITUDE,LONGITUDE,TEMP
FARGO_HECTOR_INTL_AP,1943,274.3,46.9253,-96.8111,-20.3
GALESBURG,1943,235.0,40.9464,-90.3856,-5.86
HAYS_1_S,1943,612.6,38.8586,-99.3358,-0.24
ISLAND_PARK,1943,1917.2,44.4189,-111.3714,-13.3
JACKSON_EXP_STN,1943,121.9,35.6214,-88.8456,4.17
LANCASTER_4_WSW,1943,317.0,42.8278,-90.7889,-10.05
LANDER_HUNT_FLD_AP,1943,1704.4,42.8153,-108.7261,-5.29
LAPORTE,1943,257.6,41.6117,-86.7297,-6.28
LEWISBURG_EXP_STN,1943,239.9,35.4139,-86.8086,4.11
LONGMIRE_RAINIER_NPS,1943,841.9,46.7492,-121.812,-3.12
LONGMIRE_RAINIER_NPS,1943,841.9,46.75,-121.8167,-3.5
MACON_MIDDLE_GA_RGNL_AP,1943,104.5,32.6847,-83.6528,9.97
MILES_CITY_F_WILEY_FLD,1943,799.8,46.4267,-105.8825,-15.35
MOBILE,1943,63.4,30.6794,-88.2397,10.72
MT_WASHINGTON,1943,1910.2,44.2667,-71.2994,-16.5
MYSTIC_LAKE,1943,1994.6,45.2436,-109.7311,-9.62
NASHVILLE_INTL_AP,1943,182.9,36.1189,-86.6892,5.78
NEWARK_WATER_WKS,1943,254.5,40.0875,-82.4128,-2.86
NEWTON,1943,438.9,38.0344,-97.3431,-1.9
NEW_BRUNSWICK_3_SE,1943,26.2,40.4719,-74.4364,-1.04
PIERRE_RGNL_AP,1943,531.0,44.3814,-100.2856,-14.25
PRAIRIE_DU_CHIEN,1943,200.6,43.0514,-91.135,-10.46
ROCHESTER_INTL_AP,1943,397.5,43.9042,-92.4917,-13.57
SAINT_JOHNSBURY,1943,213.4,44.42,-72.0194,-11.71
SAN_DIEGO_LINDBERGH_FLD,1943,4.6,32.7336,-117.1831,13.03
SAULT_STE_MARIE,1943,192.0,46.4867,-84.4089,-11.62
SAULT_STE_MARIE_SANDERSON_FLD,1943,220.1,46.4794,-84.3572,-11.17
SAVANNAH_INTL_AP,1943,14.0,32.13,-81.21,11.16
SHERIDAN_CO_AP,1943,1202.4,44.7694,-106.9689,-8.77
SIOUX_FALLS,1943,435.9,43.5878,-96.7289,-12.83
SPRINGFIELD_CAPITAL_AP,1943,181.1,39.8447,-89.6839,-3.26
ST_CLOUD_RGNL_AP,1943,310.3,45.5433,-94.0514,-17.06
TIMBER_LAKE,1943,658.4,45.4283,-101.0764,-17.19
TRIBUNE_1W,1943,1108.3,38.4661,-101.7758,-0.39
WATERTOWN_RGNL_AP,1943,532.8,44.9047,-97.1494,-16.93
WAYNESVILLE_1_E,1943,810.2,35.4867,-82.9683,3.32
ALMA_BACON_CO_AP,1944,58.8,31.5358,-82.5067,9.12
BISMARCK,1944,505.4,46.7708,-100.7603,-4.01
BOSTON_LOGAN_INTL_AP,1944,3.7,42.3606,-71.0106,-1.16
BRISTOL_TRI_CITY_AP,1944,457.2,36.4731,-82.4044,3.83
BUTTE_BERT_MOONEY_AP,1944,1678.2,45.9647,-112.5006,-8.89
CHANUTE_MARTIN_JOHNSON_AP,1944,300.2,37.6703,-95.4842,1.74
CHEYENNE,1944,1867.8,41.1519,-104.8061,-2.8
CHICAGO_MIDWAY_AP_3SW,1944,189.0,41.7372,-87.7775,0.45
CLEVELAND,1944,232.6,41.4131,-81.86,-0.02
CONCORDIA_MUNI_AP,1944,447.8,39.5514,-97.6508,0.91
CONCORD_MUNI_AP,1944,105.5,43.1953,-71.5011,-5.05
DES_MOINES_INTL_AP,1944,291.7,41.5339,-93.6531,0.46
ELY_YELLAND_FLD_AP,1944,1908.7,39.2953,-114.8467,-7.09
EVANSVILLE_REGIONAL_AP,1944,121.9,38.0442,-87.5206,2.21
FARGO_HECTOR_INTL_AP,1944,274.3,46.9253,-96.8111,-7.86
GALESBURG,1944,235.0,40.9464,-90.3856,-1.55
HAYS_1_S,1944,612.6,38.8586,-99.3358,1.54
ISLAND_PARK,1944,1917.2,44.4189,-111.3714,-13.06
JACKSON_EXP_STN,1944,121.9,35.6214,-88.8456,4.56
LANCASTER_4_WSW,1944,317.0,42.8278,-90.7889,-2.9
LANDER_HUNT_FLD_AP,1944,1704.4,42.8153,-108.7261,-11.49
LAPORTE,1944,257.6,41.6117,-86.7297,-0.78
LEWISBURG_EXP_STN,1944,239.9,35.4139,-86.8086,3.79
LONGMIRE_RAINIER_NPS,1944,841.9,46.7492,-121.812,-0.62
LONGMIRE_RAINIER_NPS,1944,841.9,46.75,-121.8167,-0.88
MACON_MIDDLE_GA_RGNL_AP,1944,104.5,32.6847,-83.6528,8.72
MILES_CITY_F_WILEY_FLD,1944,799.8,46.4267,-105.8825,-3.76
MOBILE,1944,63.4,30.6794,-88.2397,10.22
MT_WASHINGTON,1944,1910.2,44.2667,-71.2994,-13.51
MYSTIC_LAKE,1944,1994.6,45.2436,-109.7311,-3.55
NASHVILLE_INTL_AP,1944,182.9,36.1189,-86.6892,5.58
NEWARK_WATER_WKS,1944,254.5,40.0875,-82.4128,-1.88
NEWTON,1944,438.9,38.0344,-97.3431,1.0
NEW_BRUNSWICK_3_SE,1944,26.2,40.4719,-74.4364,0.46
PIERRE_RGNL_AP,1944,531.0,44.3814,-100.2856,-3.7
PRAIRIE_DU_CHIEN,1944,200.6,43.0514,-91.135,-2.35
ROCHESTER_INTL_AP,1944,397.5,43.9042,-92.4917,-4.59
SAINT_JOHNSBURY,1944,213.4,44.42,-72.0194,-8.625
SAN_DIEGO_LINDBERGH_FLD,1944,4.6,32.7336,-117.1831,12.71
SAULT_STE_MARIE,1944,192.0,46.4867,-84.4089,-4.72
SAULT_STE_MARIE_SANDERSON_FLD,1944,220.1,46.4794,-84.3572,-4.42
SAVANNAH_INTL_AP,1944,14.0,32.13,-81.21,10.41
SHERIDAN_CO_AP,1944,1202.4,44.7694,-106.9689,-4.37
SIOUX_FALLS,1944,435.9,43.5878,-96.7289,-2.49
SPRINGFIELD_CAPITAL_AP,1944,181.1,39.8447,-89.6839,0.1
ST_CLOUD_RGNL_AP,1944,310.3,45.5433,-94.0514,-5.91
TIMBER_LAKE,1944,658.4,45.4283,-101.0764,-4.58
TRIBUNE_1W,1944,1108.3,38.4661,-101.7758,-1.32
WATERTOWN_RGNL_AP,1944,532.8,44.9047,-97.1494,-4.82
WAYNESVILLE_1_E,1944,810.2,35.4867,-82.9683,2.71
ALMA_BACON_CO_AP,1945,58.8,31.5358,-82.5067,9.74
BISMARCK,1945,505.4,46.7708,-100.7603,-8.91
BOSTON_LOGAN_INTL_AP,1945,3.7,42.3606,-71.0106,-5.16
BRISTOL_TRI_CITY_AP,1945,457.2,36.4731,-82.4044,2.26
BUTTE_BERT_MOONEY_AP,1945,1678.2,45.9647,-112.5006,-5.37
CHANUTE_MARTIN_JOHNSON_AP,1945,300.2,37.6703,-95.4842,-0.47
CHEYENNE,1945,1867.8,41.1519,-104.8061,-2.22
CHICAGO_MIDWAY_AP_3SW,1945,189.0,41.7372,-87.7775,-6.23
CLEVELAND,1945,232.6,41.4131,-81.86,-7.31
CONCORDIA_MUNI_AP,1945,447.8,39.5514,-97.6508,-0.51
CONCORD_MUNI_AP,1945,105.5,43.1953,-71.5011,-9.09
DES_MOINES_INTL_AP,1945,291.7,41.5339,-93.6531,-5.14
ELY_YELLAND_FLD_AP,1945,1908.7,39.2953,-114.8467,-3.25
EVANSVILLE_REGIONAL_AP,1945,121.9,38.0442,-87.5206,-1.39
FARGO_HECTOR_INTL_AP,1945,274.3,46.9253,-96.8111,-13.54
GALESBURG,1945,235.0,40.9464,-90.3856,-7.79
HAYS_1_S,1945,612.6,38.8586,-99.3358,0.45
ISLAND_PARK,1945,1917.2,44.4189,-111.3714,-9.41
JACKSON_EXP_STN,1945,121.9,35.6214,-88.8456,3.43
LANCASTER_4_WSW,1945,317.0,42.8278,-90.7889,-10.4
LANDER_HUNT_FLD_AP,1945,1704.4,42.8153,-108.7261,-6.49
LAPORTE,1945,257.6,41.6117,-86.7297,-7.88
LEWISBURG_EXP_STN,1945,239.9,35.4139,-86.8086,2.86
LONGMIRE_RAINIER_NPS,1945,841.9,46.7492,-121.812,0.62
MACON_MIDDLE_GA_RGNL_AP,1945,104.5,32.6847,-83.6528,8.26
MILES_CITY_F_WILEY_FLD,1945,799.8,46.4267,-105.8825,-7.83
MOBILE,1945,63.4,30.6794,-88.2397,10.12
MT_WASHINGTON,1945,1910.2,44.2667,-71.2994,-17.41
